Salary;Work_Type;Company_Size;Role;Company
48800;контракт;61963;классный руководитель;страховая биржа Farmers
50400;стажер;87873;семейный консультант;Электрокомпоненты
46400;неполный рабочий день;35273; Бизнес-аналитик;Отель Луна
45600;стажер;76972;дизайнер взаимодействия;Здоровье
51200;временная;57908;менеджер по контролю качества;Графическая упаковка
48800;Полная занятость;98633;Дизайнер по охране окружающей среды;Газировка
49600;временная;65648;логопед;Всезнайка
44800;контракт;49909;представитель по внутренним продажам;Вкусно и точка
45600;контракт;130338;специалист по тестированию производительности;Вкусно и точка
52000;Полная занятость;31928; Специалист по анализу данных;ВК
50400;Полная занятость;128578;Специалист по сетевой безопасности;Блок
47200;неполный рабочий день;76529;разработчик мобильных приложений;Банковская группа
44800;полный рабочий день;118067;офисный координатор;Аэрофлот
52000;Временная;105343;Дизайнер интерфейсов;Zee Entertainment Enterprises
51200;неполный рабочий день;51537;инженер-строитель;Xcel Energy
44800;контракт;116311;аналитик социальных сетей;Workspace Group
49600; Полная занятость;77933;менеджер по работе с клиентами;Williams
48000;полный рабочий день;16792;менеджер по социальным сетям;Western Digital
50400;стажер;106271;консультант по устойчивому развитию;WESCO International
51200;Стажер;97571;Менеджер по закупкам;UnitedHealth Group
51200;Временная;14771;Градостроитель;UnitedHealth Group
48800;временный;84525;менеджер по контролю качества;United Services Automobile Assn.
52000;неполный рабочий день;101834;Координатор мероприятий;United Airlines Holdings
47200;временная;36167;инженер по электронному оборудованию;Unilever
49600;стажер;71394;менеджер по работе с ключевыми клиентами;Ulta Beauty
48800;стажер;59984;менеджер ИТ-проектов;Uber Technologies
46400;неполный рабочий день;28546;разработчик баз данных SQL;US Foods Holding
50400;Стажер;48875;Исследователь пользователей;UGI
48800;Контракт;72807;Координатор мероприятий;Tullow Oil
50400;Стажер;31092;IT-аналитик;Travelers
46400;неполный рабочий день;38678;менеджер по привлечению талантов;Titan Company
52000;неполный рабочий день;79071;инженер-механик;ThyssenKrupp AG
44000;контракт;102180;агент колл-центра;Textron
44000;Стажер;39646;Практикующая медсестра по оказанию неотложной помощи;Textron
44800;контракт;112909;инженер по автоматизированному тестированию;Tesla
52000;неполный рабочий день;56816;менеджер по стратегическим партнерствам;Tenet Healthcare
45600;контракт;130962;клинический психолог;Tenet Healthcare
50400;Стажер;68931;JavaScript разработчик;Tencent Holdings
47200;временная;84264;SEO-специалист;Tencent Holdings
51200;контракт;117285;адвокат по семейному праву;TPG Telecom
52000;Полная занятость;54319;менеджер по работе с ключевыми клиентами;TD Ameritrade Holding Corporation
52000;временная;55283;инженер по системам электропитания;TAG Immobilien AG
45600; частичная занятость;86636;менеджер по обеспечению качества обслуживания;Sun Pharmaceutical Industries
44800;неполный рабочий день;39267;дизайнер пользовательского интерфейса;Stockland Corporation
45600;контракт;34509;менеджер по инфраструктуре;Steel Dynamics
44800;контракт;121311;разработчик мобильных приложений;Starbucks
44000; частичная занятость;43665;специалист по ИТ-поддержке;Spotify Technology S.A.
47200;контракт;16918;юридический секретарь;Siemens India
